;must_have;nice_to_have;work_methodology;equipment_supplied;specs;perks_in_the_office;benefits;url
78;['Kotlin', 'Git', 'REST', 'android', 'SCRUM', 'English', 'Team player', 'Leadership skills', 'Problem solving'];['Java', 'RxJava', 'Dagger', 'iOS'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Code reviews', 'Pair programming', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools', 'Open-minded developers in team', 'Work with international client'];['Free coffee', 'Bike parking', 'Shower', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Flat structure', 'International projects', 'Programming enthusiasts and constant learners'];https://nofluffjobs.com/job/android-developer-nephilim-poznan-h4sddan0
79;['Kotlin', 'Gradle', 'MVVM', 'English', 'Communication skills'];['RxJava', 'Dagger', 'RxKotlin', 'UI'];['Integration tests', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Code reviews', 'Version control system'];['Operating System'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Startup atmosphere', 'No dress code'];['Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/remote-android-engineer-link-group-dlrjvx5h
80;['Java', 'REST', 'Postman', 'cucumber', 'Jmeter', 'scrum', 'English', 'Team player', 'Communication skills', 'Problem solving'];[];['Integration tests', 'QA manager', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Gym', 'Bike parking', 'Shower', 'In-house trainings', 'Modern office', 'No dress code', 'Game Room'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'International projects', 'Life Insurance'];https://nofluffjobs.com/job/senior-automation-qa-tester-ework-group-warszawa-wb7wko3z
81;['sql', 'ISTQB', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving', 'Proactivity'];['ETL'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Code reviews', 'Version control system'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free beverages', 'In-house hack days', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Lunch card', 'Small teams', 'International projects'];https://nofluffjobs.com/job/junior-test-engineer-sii-remote-araxmbdg
82;['JIRA', 'Configuration', 'Protocols', 'Test methodologies knowledge', 'English', 'Network skills', 'IP based networking'];['GSM', 'LTE', 'Polish', 'Telecommunication standards', 'Radio communication systems'];['Integration tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Gym', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'In-house hack days', 'Modern office', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/system-test-engineer-manual-tester-with-network-skills-motorola-solutions-systems-polska-krakow-nb6i2wey
83;['JIRA', 'TestRail', 'Azure', 'DevOps', 'confluence', 'English', 'Team player', 'Communication skills', 'Leadership skills', 'Critical thinking', 'Problem solving'];['Selenium', 'SQL', 'Python', 'JavaScript', 'REST', 'SOAP', 'Postman', 'ISTQB - CTFL/CATL'];['Integration tests', 'QA manager', 'Unit tests', 'Tester(s)', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Regression testing', 'UAT testing', 'Agile Testing'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/qa-team-lead-freeport-metrics-warsaw-vwsxs6ub
84;['JIRA', 'TestRail', 'azure', 'DevOps', 'confluence', 'English', 'Team player', 'Communication skills', 'Critical thinking', 'Problem solving'];['Selenium', 'SQL', 'Python', 'JavaScript', 'REST', 'SOAP', 'Postman', 'ISTQB - CTFL/CATL'];['Integration tests', 'Unit tests', 'Agile management', 'Issue tracking tool', 'Knowledge repository', 'Agile Testing', 'Regression testing', 'UAT testing'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Bike parking', 'Shower', 'Free snacks', 'Free beverages', 'Free parking', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams', 'International projects'];https://nofluffjobs.com/job/qa-specialist-freeport-metrics-warsaw-xpoqmcbo
85;['Oracle DB', 'MS SQL', 'Database', 'MySQL', 'Linux', 'English', 'Team player', 'Communication skills'];['Shell', 'Python'];['Tester(s)', 'Agile management', 'Issue tracking tool', 'Build server'];['Operating System'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['No dress code'];['Training budget', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/junior-test-engineer-cpl-jobs-warszawa-5ogmvgze
86;['Python', 'Linux', 'Git', 'pytest', 'CI/CD', 'English'];['Docker', 'Open-Stack', 'Contrail', 'Tungsten Fabric', 'SDN'];['Unit tests', 'Agile management', 'Code reviews', 'Static code analysis', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Job profile', 'Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Freedom to choose tools'];['Free coffee', 'Canteen', 'Bike parking', 'Playroom', 'Shower', 'Free snacks', 'Free beverages', 'In-house trainings', 'In-house hack days', 'Modern office', 'Startup atmosphere', 'No dress code'];['Sport subscription', 'Training budget', 'Private healthcare', 'Flat structure', 'Small teams'];https://nofluffjobs.com/job/software-engineer-in-test-with-python-codilime-gdansk-qhlmusyg
87;['Java', 'sql'];['hadoop', 'obiee', 'CI tools'];['QA manager', 'Agile management', 'Version control system', 'Build server'];['Operating System', 'Computer', 'Monitors'];['Start', 'Contract duration', 'Paid holiday', 'Part time work', 'Remote possible', 'Flexible hours', 'Travel involved', 'Relocation package', 'Freedom to choose tools'];['Free coffee', 'In-house trainings', 'Modern office', 'No dress code'];['Sport subscription', 'Private healthcare', 'Small teams', 'International projects'];https://nofluffjobs.com/job/test-automation-engineer-prodata-consult-remote-srfjppq1
